SEX,SEX_MAP,EMOT,/content/drive/MyDrive/project_gender_sterotype_persian,id,SIT,SIT_Persian
1,male,5,disgust,7135,A wurm dropped on my head.,یک کرم بر روی سرم افتاد.
1,male,2,fear,3244,Waiting for a taxi - when within 1/2 an hour two separate people challenged me to fight for no apparent reason except they were drunk.,منتظر تاکسی بودم - زمانی که ظرف نیم ساعت دو نفر مختلف به دلیل ظاهراً هیچ دلیل واضحی به جز اینکه مست بودند، با من به مبارزه طلبیدند.
2,female,7,guilt,2882,My father got a slight heart attack after a telephone call of mine.,پدرم پس از تماس تلفنی من دچار حمله قلبی خفیفی شد.
1,male,2,fear,7185,Talking about snakes.,مناقشه در مورد مارها.
2,female,4,sadness,5813,When my sister left home to go and live with her husband.,هنگامی که خواهرم منزل را ترک کرد تا با همسرش زندگی کند.
2,female,2,fear,7269,Waiting for the results of the High level examination.  I was afraid of not being accepted.,نتایج امتحان سطح بالا را با نگرانی منتظر بودم. من از عدم پذیرش خود ترس داشتم.
1,male,5,disgust,909,"On Reperbahn, in a restaurant, a charming old saleswoman came to beg a drink for herself.",در خیابان ریپربان، در یک رستوران، یک فروشنده پیر و دوست‌داشتنی برای خود درخواست نوشیدنی کرد.
2,female,2,fear,528,Once I had to go home on foot at 5 a.m. I had to pass through a forest and I was going alone.,یک‌بار مجبور شدم در ساعت 5 صبح به پیاده‌روی به خانه بروم. باید از یک جنگل می‌گذشتم و تنها بودم.
2,female,4,sadness,523,My father gave money to my brother but not to me.,پدرم به برادرم پول داد، اما به من نداد.
1,male,5,disgust,5228,I went to spend a night with a relative of mine and there I found that the bed had been wet the previous night.,پیش رفتم تا شبی را با یکی از بستگانم به سر برم و در آنجا دریافتم که تخت قبلا مرطوب شده بود.
2,female,4,sadness,7201,My friend not allowed to go to the English lectures.,دوست من اجازه نداشت به کلاس‌های انگلیسی برود.
1,male,7,guilt,4159,When I broke something and a friend of mine was blamed.,وقتی چیزی را شکستم و دوستم مقصر شناخته شد.
2,female,4,sadness,4517,"One day, I was home and there was a phone call informing me that some of my relatives had died in an accident.",پس از مدتی، من در خانه بودم که تماس تلفنی دریافت کردم مبنی بر اینکه برخی از بستگان من در یک حادثه جان باخته اند.
2,female,4,sadness,7452,When I was a child I was playing on the upper deck of the bed with my brother.  My parents slept on the lower deck.  My father felt disgusted and beat me up.  I felt very sad as my father had never beaten me or scolded me before.,زمانی که من بچه بودم با برادرم روی طبقه بالایی تخت بازی میکردم. والدینم روی طبقه پایینی خوابیده بودند. پدرم احساس چندش آوری کرد و مرا کتک زد. من بسیار غمگین شدم زیرا پدرم تا به آن زمان هرگز مرا نکوهش یا کتک نزده بود.
1,male,2,fear,941,I returned home late from a party last night and I felt afraid trying to anticipate the reaction of my father.,در شب گذشته من از یک مهمانی دیر به خانه برگشتم و احساس ترس داشتم که واکنش پدرم را پیش بینی کنم.
2,female,7,guilt,4180,I had an argument with my boyfriend.  It was my fault but my pride would not let me admit it.,من با دوستم بحث کردم. اشتباه از من بود اما غرورم به من اجازه نمی‌داد که آن را اعتراف کنم.
1,male,3,anger,6986,Told by some people the class leader only choose his friends (not true).,به گفته برخی از افراد، رهبر کلاس تنها دوستان خود را انتخاب می‌کند (درست نیست).
2,female,5,disgust,295,When I read a newspaper article on a young girl who had been raped and assaulted one night by several men when she was unconscious.,به هنگام خواندن مقاله‌ای در روزنامه درباره دختر جوانی که در شب‌ها مورد تجاوز و حمله قرار گرفته بود و در حالت بی‌هوشی به دست چند مرد افتاده بود.
2,female,6,shame,6564,I was ashamed with my biology lecturer when he asked me a question and I could not answer it.,من از استاد زیست‌شناسی خود شرمنده بودم وقتی که از من سؤالی پرسید و نتوانستم به آن پاسخ دهم.
1,male,3,anger,7437,Once my father slapped my mother for a small quarrel.,بار دیگر پدرم به دلیل یک دعوای کوچک مادرم را سیلی زد.
1,male,1,joy,5754,"After watching the 49ers lose game after game, year after year, I was finally rewarded with a Super Bowl victory which made me extremely happy.",پس از تماشای شکست پی در پی 49ers از بازی به بازی و سال به سال، در نهایت با پیروزی در Super Bowl پاداش گرفتم که باعث خوشحالی فراوان من شد.
2,female,7,guilt,3457,When I had to lie to my boyfriend so that he wouldn't suspect I'd bought him a xmas present as expensive as I had.,وقتی مجبور شدم به دوست پسرم دروغ بگویم تا او مشکوک نشود که هدیه کریسمس که برایش خریده ام به این گرانی است.
1,male,5,disgust,2917,I was looking for an object when I came across a rotten corpse of a rat.,تن پوسیده و فاسد یک موش را پیدا کردم در حالی که به دنبال چیزی می گشتم.
1,male,5,disgust,5453,My parents claimed me on their income tax after I had been out of the house for two years receiving no financial support from them. As result I had to work more during school because they were expected by the FAO to contribute to my education when they refuse to do so.,والدین من پس از دو سال که از خانه خارج شده بودم و از آنها هیچ پشتیبانی مالی دریافت نمی کردم، مرا در اظهارنامه مالیات بر درآمد خود ادعا کردند. به همین دلیل من مجبور شدم در طول تحصیل بیشتر کار کنم چرا که انتظار می رفت FAO از آنها برای تحصیل من مساعدت مالی بگیرد اما آنها از این کار امتناع کردند.
1,male,7,guilt,610,[ Can not think of anything.],هیچ چیزی به ذهنم نمی‌رسد.
2,female,2,fear,2139,When I come home late at night.,وقتی که دیر شب به خانه برمی‌گردم.
2,female,1,joy,2097,"When finally I found a place to live, I felt relieved, predicting changes in my life, and I became happy.",جایی را که سرانجام برای زندگی پیدا کردم، احساس راحتی داشتم، تغییرات در زندگی‌ام را پیش‌بینی می‌کردم و خوشحال شدم.
1,male,1,joy,3236,The feeling of joy when again I had confessed my sin and experienced God's forgiving grace and cleansing power - total enlightenment and freedome - bliss.,احساس شادی وقتی که دوباره گناه خود را اعتراف کردم و لطف و قدرت پاک کننده خدا را تجربه کردم - روشنایی کامل و آزادی - نیکبختی.
2,female,7,guilt,1454,"I behaved in a nasty manner towards a friend, I said things which I could have said in a more friendly way. After that I felt guilty.",من با دوستم به طرز بدی رفتار کردم، چیزهایی را گفتم که می توانستم به طریقی دوستانه تر بگویم. پس از آن احساس گناه کردم.
1,male,7,guilt,7004,Not finishing homework in time.,در موعد مقرر تکالیف درسی را تکمیل نکردن.
1,male,7,guilt,1377,"I came home from a discotheque at half past four in the morning, although I had promised my parents to come home at midnight. From 3 a.m. I felt guilty towards my parents.",من در ساعت چهار و نیم صبح از یک باشگاه شبانه به خانه برگشتم، با اینکه به والدینم قول داده بودم که در نیمه شب به خانه برگردم. از ساعت سه بامداد احساس گناه نسبت به والدینم داشتم.
2,female,5,disgust,3090,I feel disgust with my first boyfriend who made fun of our love in an abominable way.,نفرت و انزجار شدیدی نسبت به نخستین دوست پسرم دارم که عشق ما را به نحو زشت و ناپسندی مسخره می‌کرد.
1,male,5,disgust,5663,"This person I know lied about how much income his parents made and received money through grants which he did not need. Another person is barely making it, did not lie, and did not receive enough money.",این شخص که می‌شناسم در مورد میزان درآمد والدینش دروغ گفت و از طریق کمک‌های مالی که به آن نیاز نداشت، پول دریافت کرد. شخص دیگری به سختی زندگی می‌کند، دروغ نگفته و مبلغ کافی پول دریافت نکرده است.
2,female,4,sadness,3855,My relationship with a boyfriend was finished and I didn't succeed a years-course.,این رابطه من با دوستپسر به پایان رسید و من موفق به تکمیل دوره یک ساله نشدم.
1,male,4,sadness,685,"Discovering that Lillehammer provided no musical environment that suits my taste, even though I had been told so.",در پی کشف این حقیقت که لیلهامر محیطی موسیقایی را فراهم نمی‌کند که با سلیقه من سازگار باشد، اگرچه قبلاً چنین چیزی به من گفته شده بود.
1,male,1,joy,1420,After 3 weeks I saw my girlfriend again.,پس از 3 هفته دوباره دختر دوستم را دیدم.
1,male,7,guilt,4646,When I was afraid to tell my sports teacher at secondary school that I had not participated in the sports activities the previous day.,وقتی از اینکه به معلم ورزش مدرسه ثانویه ام بگویم که در فعالیت های ورزشی روز قبل شرکت نکرده ام، میترسیدم.
2,female,2,fear,1185,"My boyfriend hinted over the phone about wanting to be free.  He thus did not say it point blank, silence followed.",آقای دوست پسرم از طریق تلفن به آرامی اشاره کرد که مایل است آزاد باشد. او به صراحت این مطلب را نگفت و پس از آن سکوت برقرار شد.
2,female,1,joy,1226,When I made the acquaintance of a certain person.,وقتی با شخصی آشنا شدم.
2,female,3,anger,5130,When I get home late my father scolds me and this makes me angry.,وقتی که من دیر به خانه می‌رسم، پدرم مرا سرزنش می‌کند و این باعث می‌شود که من عصبانی شوم.
1,male,7,guilt,6322,Sometime back I came across a certain man who was badly beaten by some people because he was found raping the wife of the village headman.,در گذشتهای، با مردی برخورد کردم که به شدت توسط برخی افراد کتک خورده بود زیرا او در حال تجاوز به همسر سرپرست روستا پیدا شده بود.
2,female,1,joy,5768,After much trouble getting together in the first place my boyfriend and I celebrated our first anniversary.,تلاش زیادی برای به هم آمدن کردیم، اما بالاخره من و دوست پسرم اولین سالگرد رابطه‌مان را جشن گرفتیم.
1,male,6,shame,6370,When I first failed my standard 8 exams for the first attempt for Form I selection.,وقتی که من برای اولین بار در امتحانات استاندارد 8 خود در اولین تلاش برای انتخاب فرم I شکست خوردم.
1,male,7,guilt,5076,When I discovered that the girl I was courting was a relative of mine.,وقتی فهمیدم دختری که در حال جذب او بودم، نسبت خونی با من داشت.
1,male,7,guilt,2758,I removed an article of clothing belonging to my employer while in a position of trust.,لباسی را که متعلق به کارفرمای من بود، در حالی که در موقعیت اعتماد قرار داشتم، برداشتم.
1,male,5,disgust,4213,The sight of vomit on the street.,استشمام بوی استفراغ در خیابان.
2,female,3,anger,3645,"When anybody wants to make me feel guilty. For example: I should do something for my mother, but things didn't go as she hoped. Then she threatens: I'll do it myself.",وقتی که کسی می خواهد احساس تقصیر در من ایجاد کند. به عنوان مثال: باید چیزی را برای مادرم انجام دهم، اما چیزها به گونه ای که او امیدوار بود پیش نرفت. سپس او تهدید می کند: خود من این کار را انجام می دهم.
1,male,6,shame,5615,I had just masterbated with another boy.,من تازه با پسر دیگری ماستربیت کرده بودم.
2,female,4,sadness,5962,"When my sister lost her only son, who was sixteen years old.  I felt very bad about it as this was the first death in my family and then I learned slowly to understand to life.",وقتی خواهرم تنها پسرش را که شانزده سال داشت از دست داد، احساس بسیار بدی داشتم زیرا این اولین مرگ در خانواده من بود و من به آرامی یاد گرفتم زندگی را درک کنم.
2,female,2,fear,7366,An inter-college basket-ball match.,جدال بین‌کالجی بسکتبال
1,male,1,joy,2145,I was admitted to the University and a niece was born to me.,دانشگاه پذیرفت و خواهرزاده‌ای به دنیا آمد.
2,female,7,guilt,7496,"Once, my friend and I went to the Tai 60 to cycle.  My mother had told me not to go.  Unfortunately I broke my pectoral girdle and had to go to hospital.  When my mother  came to see me I felt guilty as I had not listened to her and I had to soon sit for a public examination.",پیش از این، من و دوستم به تای 60 رفتیم تا دوچرخه سواری کنیم. مادرم به من گفته بود که نروم. متأسفانه، من قفسه سینه‌ام را شکستم و مجبور شدم به بیمارستان بروم. وقتی مادرم برای دیدن من آمد، احساس گناه کردم چون به حرف‌هایش گوش نداده بودم و به زودی باید برای یک آزمون عمومی شرکت می‌کردم.
1,male,5,disgust,1939,A female friend was violently ill on the return journey from a wedding reception we attended. Getting her out of the car when home took quite a while.,به دوست زن من در بازگشت از مراسم عروسی که در آن شرکت کرده بودیم، به شدت بیمار شد. زمان زیادی برد تا او را از ماشین بیرون آورم و به داخل خانه برسانم.
1,male,7,guilt,3436,My grandmother wanted me to help her. I was driving a tractor pulling a dead branch off a tree. I told her she didn't respect me.,من نمی‌توانستم تراکتور را راندن و شاخه‌ی مرده را از درخت بیرون بکشم. من به او گفتم که او به من احترام نمی‌گذارد.
1,male,3,anger,6781,South Korea winning more gold medals in the Asian Olympic (more than China).,کره جنوبی موفق به کسب مدال های طلای بیشتری در بازی های المپیک آسیایی (نسبت به چین) شده است.
2,female,6,shame,2200,"First weekend back home after one week at Uni I scolded one of my sister's best friends for using our telephone. Very silly, but I was annoyed because she was there at a time when I needed to be with my family.",بعد از یک هفته در دانشگاه، اولین آخر هفته برگشتن به خانه، یکی از بهترین دوستان خواهرم را به خاطر استفاده از تلفن ما سرزنش کردم. خیلی احمقانه بود، اما من ناراحت بودم چون او در زمانی که باید با خانواده ام باشم آنجا بود.
2,female,6,shame,1648,It was the time when everybody spoke about and discussed Hainburg. I was also asked for my opinion. I was ashamed because I had no firm view of the whole thing and therefor was not able to join the conversation.,این زمانی بود که همه در مورد هاینبورگ صحبت و بحث می‌کردند. من هم از نظر خود پرسیده شدم. من شرمنده بودم چون هیچ دیدگاه محکمی از کل این موضوع نداشتم و بنابراین نمی‌توانستم در گفتگو شرکت کنم.
2,female,4,sadness,2748,Guy I cared for went back to Canada to live.,رفت کسی که برایش اهمیت قائل بودم به کانادا برای زندگی.
2,female,7,guilt,5816,[ I felt guilt when I was not co-operative with my mother for my exam.],احساس گناه داشتم وقتی که با مادرم در مورد امتحانم همکاری نکرده بودم.
2,female,3,anger,2089,Can't remember exact example.,به یاد نمی‌آورم مثال دقیق.
1,male,6,shame,1912,When I woke up after a night of drinking I couldn't remember and discovered several untoward things had occurred.,به هنگام بیدار شدن پس از یک شب مصرف الکل، نتوانستم به خاطر بیاورم و متوجه شدم چندین اتفاق ناخوشایند رخ داده است.
1,male,4,sadness,4748,When my close friend was involved in an accident and passed away instantly.  He had gone to buy a new car and had asked me to wait at his home so that I could see his new car.,دوست نزدیک من در یک تصادف درگیر شد و به طور فوری از دنیا رفت. او رفته بود تا یک ماشین جدید بخرد و از من خواسته بود که در خانه اش منتظر بمانم تا بتوانم ماشین جدیدش را ببینم.
2,female,7,guilt,7211,I had not done my assignment seriously.  I only pretended to finish the work as the work did not have any meaning for me.  The whole thing made me feel guilty.,من به صورت جدی تکلیف خود را انجام نداده بودم. من فقط به طور ظاهری کار را به اتمام رسانده بودم، چرا که این کار برای من معنایی نداشت. این موضوع باعث شد احساس گناه کنم.
2,female,4,sadness,6569,I experienced this emotion when my grandfather passed away.,من این احساس را هنگامی که پدربزرگم از دنیا رفت، تجربه کردم.
